,Sample,Allele_frequency,Super_population,Group
267,HG00656,0.024887,ASN,Low
268,HG00657,0.081448,ASN,Low
269,HG00662,0.071644,ASN,Low
270,HG00663,0.092006,ASN,Low
271,HG00671,0.098039,ASN,Low
272,HG00672,0.055053,ASN,Low
273,HG00683,0.067119,ASN,Low
274,HG00684,0.076923,ASN,Low
275,HG00689,0.065611,ASN,Low
276,HG00690,0.076169,ASN,Low
277,HG00692,0.055807,ASN,Low
278,HG00693,0.055053,ASN,Low
279,HG00698,0.075415,ASN,Low
280,HG00699,0.039216,ASN,Low
281,HG00701,0.061840,ASN,Low
282,HG00702,0.052036,ASN,Low
283,HG00704,0.099548,ASN,Low
284,HG00705,0.061086,ASN,Low
285,HG00707,0.109351,ASN,Low
286,HG00708,0.052790,ASN,Low
287,HG00731,0.035445,AMR,High
288,HG00732,0.085973,AMR,High
289,HG00734,0.082202,AMR,High
290,HG00736,0.104827,AMR,High
291,HG00737,0.085219,AMR,High
292,HG00740,0.067119,AMR,High
293,HG01047,0.066365,AMR,High
294,HG01048,0.060332,AMR,High
295,HG01051,0.088989,AMR,High
296,HG01052,0.098039,AMR,High
297,HG01055,0.065611,AMR,High
298,HG01060,0.042986,AMR,High
299,HG01061,0.067873,AMR,High
300,HG01066,0.103318,AMR,High
301,HG01067,0.030920,AMR,High
302,HG01069,0.034691,AMR,High
303,HG01070,0.079940,AMR,High
304,HG01072,0.039216,AMR,High
305,HG01073,0.057315,AMR,High
306,HG01075,0.080694,AMR,High
307,HG01079,0.079940,AMR,High
308,HG01080,0.065611,AMR,High
309,HG01082,0.082956,AMR,High
310,HG01083,0.036953,AMR,High
311,HG01085,0.049020,AMR,High
312,HG01095,0.089744,AMR,High
313,HG01097,0.055807,AMR,High
314,HG01098,0.068627,AMR,High
315,HG01101,0.078431,AMR,High
316,HG01102,0.037707,AMR,High
317,HG01104,0.015837,AMR,High
318,HG01105,0.067119,AMR,High
319,HG01107,0.041478,AMR,High
320,HG01108,0.017345,AMR,High
321,HG01112,0.064103,AMR,High
322,HG01113,0.062594,AMR,High
323,HG01124,0.080694,AMR,High
324,HG01125,0.056561,AMR,High
325,HG01133,0.039970,AMR,High
